User Screen Name,Tweet,Time Created,
AndrewYoung__,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:16 GMT 2014,
1stMalSweeney,Well done to Scotland against Ireland 1-0 at Celtic Park #SCOIRL  great goal by Maloney,Fri Nov 14 21:39:16 GMT 2014,
ABhoysVoice,FT! 1-0 to Scotland. Deserved too. . Ireland were muck. No organisation going forward. Didn't look like scoring from open play.. #ScoIrl,Fri Nov 14 21:39:16 GMT 2014,
Darren_O_Connor,You mean to tell me aimlessly hoofing the ball up the field doesn't win you matches? #SCOIRL,Fri Nov 14 21:39:16 GMT 2014,
hibee_girl,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:16 GMT 2014,
FraserBlair95,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:16 GMT 2014,
NewsfoxSport,Yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeesssssssssssssssssssssssss #SCOIRL,Fri Nov 14 21:39:16 GMT 2014,
GavLamb09,Our flower of fucking Scotland #maloney #SCOIRL,Fri Nov 14 21:39:16 GMT 2014,
blairsloan23,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:16 GMT 2014,
DaleWoodx,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:16 GMT 2014,
AJ_Latto,Yaaaaaaaas! #SCOIRL,Fri Nov 14 21:39:15 GMT 2014,
VizualDze,Get in! Full time: Scotland 1 - 0 Ireland. Tight game  but I'd say the Scots shaded it  certainly on chances. #SCOIRL,Fri Nov 14 21:39:15 GMT 2014,
chrisjames70,Great result for Scotland! #SCOIRL,Fri Nov 14 21:39:15 GMT 2014,
98FM,The Boys in Green defeated for the first time in group D :'( 1-0 FT Maloney the scorer. Not a disaster though #SCOIRL #COYBIG,Fri Nov 14 21:39:15 GMT 2014,
LewisParkerAFC,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:15 GMT 2014,
CharlieeWBA,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:15 GMT 2014,
LaticsOfficial,INTERNATIONALS: Full time @ScottishFA 1 @FAIreland 0 Shaun Maloney's fantastic goal settles it! #SCOIRL #wafc,Fri Nov 14 21:39:15 GMT 2014,
StephenC92,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:15 GMT 2014,
SpursSmify,Gg well played Scotland #TartanArmy Ireland unlucky to be honest  but hey a win is a win #SCOIRL,Fri Nov 14 21:39:15 GMT 2014,
